Literature,Category,Variable,Unit,Trt_aCO2 ,Trt_eCO2 ,Trt_CO2_unit,Trt_aP,Trt_eP,Trt_P_unit,Sample Size,aCaP_mean,aCaP_pos,aCaP_neg,aCeP_mean,aCeP_pos,aCeP_neg,eCaP_mean,eCaP_pos,eCaP_neg,eCeP_mean,eCeP_pos,eCeP_neg,Confidence interval type,Species,Vegetation_type,Soil_weight_in_pot,Soil_weight_unit,Pot_volume ,Pot_volume_unit,Experiment_duration,Experimental_duration_unit,Mycorrhizae_Literature,Mycorrhizae,Soil_growth_condition,CO2_exposure_type
Whitehead et al. 1997,Resource Use Efficiency,WUE ,umol mol-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,0.25,0.32,0.18,0.66,0.85,0.47,0.71,0.94,0.48,2.1,2.76,1.44,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Concentration,Leaf N concentration,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,9.3,11.1,7.5,6.5,7.2,5.8,9.1,10.9,7.3,5.1,6.4,3.8,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,86,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Concentration,Leaf P concentration ,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,1.3,2,0.6,3.6,3.9,3.3,1.8,1.9,1.7,3.4,3.9,2.9,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,86,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Concentration,Leaf N concentration,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,23.7,27.4,20,14.2,17.3,11.1,20.9,24.9,16.9,8.3,10,6.6,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,208,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Concentration,Leaf P concentration ,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,2.5,3.1,1.9,7.9,9.7,6.1,1,2,0.5,6.4,8.2,4.6,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,208,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Concentration,Root N concentration,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,18.1,21.8,14.4,14.1,20,8.2,9.4,14.3,4.5,15.4,22.5,8.3,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Concentration,Root P concentration ,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,0.9,0.91,0.89,1.4,2.1,0.7,0.8,1.2,0.4,1,1.4,0.6,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Biomass,Root N content,mg N plant-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,4.344,7.194,2.16,19.599,32.8,9.348,7.708,13.728,3.06,23.1,36.225,11.537,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Biomass,Root P content,mg P plant-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,0.216,0.3003,0.1335,1.946,3.444,0.798,0.656,1.152,0.272,1.5,2.254,0.834,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Edwards et al. 2005,Biomass,Aboveground biomass,t ha-1,360,700,ppm,0.4,0.5,mM P,6,4.63,4.89,4.37,10.05,10.41,9.69,4.46,4.73,4.19,12.48,13.13,11.83,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Stocklin and Korner 1999,Biomass,Root biomass,g m-2,360,600,ppm,0,1,g P m-2 a-1,8,48.65,59.15,38.15,51.42,57.915,44.925,76.07,87.55,64.59,71.34,81.84,60.84,SE,Carex flacca,Nonwoody,NA,NA,0.024336,dm3,550,NA,Soudzilovshaia et al. 2019,NM-AM,restricted,chambers
Stocklin and Korner 1999,Biomass,Total plant biomass ,g m-2,360,600,ppm,0,1,g P m-2 a-1,8,77.51,86.725,68.295,103.87,108.565,99.175,125.57,137.05,114.09,118.34,128.84,107.84,SE,Carex flacca,Nonwoody,NA,NA,0.024336,dm3,550,NA,Soudzilovshaia et al. 2019,NM-AM,restricted,chambers
Edwards et al. 2006,Biomass,Aboveground biomass,kg ha-1,360,700,ppm,0.04,1,mM P,6,6,NA,NA,4,NA,NA,10,NA,NA,4,NA,NA,NA,Stenotaphrum secundatum,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2006,Biomass,Aboveground biomass,kg ha-1,360,700,ppm,0.04,1,mM P,6,275,NA,NA,774,NA,NA,227,NA,NA,922,NA,NA,NA,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Stocklin and Korner 1999,Biomass,Root biomass,g m-2,360,600,ppm,0,1,g P m-2 a-1,8,41.55,53.55,29.55,43.335,54.83,31.84,40.55,53.05,28.05,42.3,54.8,29.8,SE,Centaurea jacea,Nonwoody,NA,NA,0.024336,dm3,550,NA,Soudzilovshaia et al. 2019,AM,restricted,chambers
Stocklin and Korner 1999,Biomass,Total plant biomass ,g m-2,360,600,ppm,0,1,g P m-2 a-1,8,72.9,90.15,55.65,86.235,96.48,75.99,66.2,86.2,46.2,77.22,99.715,54.725,SE,Centaurea jacea,Nonwoody,NA,NA,0.024336,dm3,550,NA,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Aboveground biomass,g plant-1,400,800,ppm,0.61,1.8,g pot-1,4,16.1,NA,NA,16.3,NA,NA,21.1,NA,NA,18.6,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Aboveground biomass,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,7.6,NA,NA,16.3,NA,NA,9.2,NA,NA,18.6,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Aboveground biomass,g plant-1,400,800,ppm,1.2,1.8,g pot-1,4,34.7,NA,NA,61.4,NA,NA,33.7,NA,NA,68.3,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Aboveground biomass,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,13.9,NA,NA,61.4,NA,NA,13.4,NA,NA,68.3,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jin et al. 2012,Biomass,Root biomass,g plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,0.52,NA,NA,1.16,NA,NA,0.58,NA,NA,1.5,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root biomass,g plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,0.71,NA,NA,1.16,NA,NA,0.86,NA,NA,1.5,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root biomass,g plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,0.81,NA,NA,1.16,NA,NA,1.06,NA,NA,1.5,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root biomass,g plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,1.08,NA,NA,1.16,NA,NA,1.25,NA,NA,1.5,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Morphology,Total root length,m plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,24.18,29.18,19.18,47.28,52.28,42.28,26.76,31.76,21.76,56.81,61.81,51.81,SD,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Morphology,Total root length,m plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,34.82,39.82,29.82,47.28,52.28,42.28,38.12,43.12,33.12,56.81,61.81,51.81,SD,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Morphology,Total root length,m plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,39.21,44.21,34.21,47.28,52.28,42.28,45.08,50.08,40.08,56.81,61.81,51.81,SD,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Morphology,Total root length,m plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,41.05,46.05,36.05,47.28,52.28,42.28,50.21,55.21,45.21,56.81,61.81,51.81,SD,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg N plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,16.224,NA,NA,66.41,NA,NA,17.376,NA,NA,93.09,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg N plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,29.336,NA,NA,66.41,NA,NA,33.06,NA,NA,93.09,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg N plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,47.36,NA,NA,66.41,NA,NA,54.39,NA,NA,93.09,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg N plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,39,NA,NA,66.41,NA,NA,53.3,NA,NA,93.09,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Leaf P concentration,mg g-1,350,550,ppm,5,21,mg P kg-1 soil,4,0.95,NA,NA,1.47,NA,NA,0.88,NA,NA,1.28,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Leaf P concentration,mg g-1,350,550,ppm,7,21,mg P kg-1 soil,4,1.37,NA,NA,1.47,NA,NA,1.21,NA,NA,1.28,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Leaf P concentration,mg g-1,350,550,ppm,9,21,mg P kg-1 soil,4,1.39,NA,NA,1.47,NA,NA,1.2,NA,NA,1.28,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Leaf P concentration,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,1.42,NA,NA,1.47,NA,NA,1.41,NA,NA,1.28,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root P concentration,mg g-1,350,550,ppm,5,21,mg P kg-1 soil,4,0.78,NA,NA,1.31,NA,NA,0.8,NA,NA,1.22,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root P concentration,mg g-1,350,550,ppm,7,21,mg P kg-1 soil,4,0.92,NA,NA,1.31,NA,NA,0.88,NA,NA,1.22,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root P concentration,mg g-1,350,550,ppm,9,21,mg P kg-1 soil,4,1.06,NA,NA,1.31,NA,NA,0.91,NA,NA,1.22,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root P concentration,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,1.26,NA,NA,1.31,NA,NA,1.15,NA,NA,1.22,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant P content ,mg plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,1.13,NA,NA,7.02,NA,NA,1.23,NA,NA,9.61,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant P content ,mg plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,2.54,NA,NA,7.02,NA,NA,2.72,NA,NA,9.61,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant P content ,mg plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,3.56,NA,NA,7.02,NA,NA,4.29,NA,NA,9.61,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant P content ,mg plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,5.06,NA,NA,7.02,NA,NA,6.66,NA,NA,9.61,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Leaf N concentration ,mg g-1,350,550,ppm,5,21,mg P kg-1 soil,4,13.1,NA,NA,10.4,NA,NA,12.6,NA,NA,9.9,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Leaf N concentration ,mg g-1,350,550,ppm,7,21,mg P kg-1 soil,4,11.2,NA,NA,10.4,NA,NA,13.3,NA,NA,9.9,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Leaf N concentration ,mg g-1,350,550,ppm,9,21,mg P kg-1 soil,4,10.5,NA,NA,10.4,NA,NA,11.1,NA,NA,9.9,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Leaf N concentration ,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,9.4,NA,NA,10.4,NA,NA,11.2,NA,NA,9.9,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root N concentration,mg g-1,350,550,ppm,5,21,mg P kg-1 soil,4,9.3,NA,NA,9.2,NA,NA,7.9,NA,NA,9.1,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root N concentration,mg g-1,350,550,ppm,7,21,mg P kg-1 soil,4,8.2,NA,NA,9.2,NA,NA,8.2,NA,NA,9.1,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root N concentration,mg g-1,350,550,ppm,9,21,mg P kg-1 soil,4,9.1,NA,NA,9.2,NA,NA,8.1,NA,NA,9.1,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root N concentration,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,10,NA,NA,9.2,NA,NA,9.9,NA,NA,9.1,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,13.7,NA,NA,54.5,NA,NA,16.9,NA,NA,59.3,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,20.7,NA,NA,54.5,NA,NA,33.3,NA,NA,59.3,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,28.6,NA,NA,54.5,NA,NA,36.8,NA,NA,59.3,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,37.3,NA,NA,54.5,NA,NA,55,NA,NA,59.3,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Nutrient Ratio,Total NP ratio,unitless,350,550,ppm,5,21,mg P kg-1 soil,4,12.06,NA,NA,7.77,NA,NA,11.26,NA,NA,7.72,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Nutrient Ratio,Total NP ratio,unitless,350,550,ppm,7,21,mg P kg-1 soil,4,8.1,NA,NA,7.77,NA,NA,9.77,NA,NA,7.72,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Nutrient Ratio,Total NP ratio,unitless,350,550,ppm,9,21,mg P kg-1 soil,4,8.06,NA,NA,7.77,NA,NA,8.39,NA,NA,7.72,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Nutrient Ratio,Total NP ratio,unitless,350,550,ppm,13,21,mg P kg-1 soil,4,7.36,NA,NA,7.77,NA,NA,8.51,NA,NA,7.72,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Leaf P content,g plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,0.5415,NA,NA,4.851,NA,NA,0.5016,NA,NA,4.5184,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Leaf P content,g plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,1.4796,NA,NA,4.851,NA,NA,1.4641,NA,NA,4.5184,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Leaf P content,g plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,2.0433,NA,NA,4.851,NA,NA,2.292,NA,NA,4.5184,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Leaf P content,g plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,3.3654,NA,NA,4.851,NA,NA,4.3992,NA,NA,4.5184,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root P content,g plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,0.4056,NA,NA,1.5196,NA,NA,0.464,NA,NA,1.83,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root P content,g plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,0.6532,NA,NA,1.5196,NA,NA,0.7568,NA,NA,1.83,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root P content,g plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,0.8586,NA,NA,1.5196,NA,NA,0.9646,NA,NA,1.83,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root P content,g plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,1.3608,NA,NA,1.5196,NA,NA,1.4375,NA,NA,1.83,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Leaf N content,g plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,7.467,NA,NA,34.32,NA,NA,7.182,NA,NA,34.947,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Leaf N content,g plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,12.096,NA,NA,34.32,NA,NA,16.093,NA,NA,34.947,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Leaf N content,g plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,15.435,NA,NA,34.32,NA,NA,21.201,NA,NA,34.947,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Leaf N content,g plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,22.278,NA,NA,34.32,NA,NA,34.944,NA,NA,34.947,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root N content,g plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,4.836,NA,NA,10.672,NA,NA,4.582,NA,NA,13.65,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root N content,g plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,5.822,NA,NA,10.672,NA,NA,7.052,NA,NA,13.65,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root N content,g plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,7.371,NA,NA,10.672,NA,NA,8.586,NA,NA,13.65,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Root N content,g plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,10.8,NA,NA,10.672,NA,NA,12.375,NA,NA,13.65,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Fleisher et al. 2013,Biomass,Aboveground biomass,g plant-1,400,800,ppm,0.61,1.8,g pot-1,4,16.04,17.41,14.67,16.05,17.31,15.39,18.89,21.85,15.85,18.47,20.05,16.89,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Aboveground biomass,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,7.38,8.33,6.43,16.05,17.31,15.39,8.97,10.13,7.81,18.47,20.05,16.89,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Aboveground biomass,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,13.83,15.09,12.57,61.43,65.12,57.74,13.3,14.03,12.57,68.28,73.66,62.9,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Aboveground biomass,g plant-1,400,800,ppm,1.2,1.8,g pot-1,4,34.82,37.26,32.38,61.43,65.12,57.74,33.46,34.83,32.09,68.28,73.66,62.9,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Gentile et al. 2012,Biomass,Aboveground biomass,g plant-1,394,514,ppm,31.5,49,kg P ha-1,3,0.57,NA,NA,0.49,NA,NA,0.45,NA,NA,0.59,NA,NA,NA,Lolium perenne,Nonwoody,675,g,NA,NA,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Lam et al. 2012,Biomass,Belowground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,0.32,NA,NA,0.35,NA,NA,0.3,NA,NA,0.3,NA,NA,NA,Cicer arietinum,Nonwoody,3.5,kg,42,L,21,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Belowground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,0.7,NA,NA,0.52,NA,NA,0.81,NA,NA,0.6,NA,NA,NA,Cicer arietinum,Nonwoody,3.5,kg,42,L,43,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Belowground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,1.8,NA,NA,1.43,NA,NA,1.59,NA,NA,1.59,NA,NA,NA,Cicer arietinum,Nonwoody,3.5,kg,42,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
